suite,family,graph_id,graph_seed,density,case,layers,method,compiler_seed,route_mode,selector_reason,native_2q,cx,depth,twoq_depth,duration_us,router_seconds,level3_seconds,total_compile_seconds,swaps_before_level3,state_error,total_variation,ideal_cut,compiled_ideal_cut,noise_simulated,shots,noisy_cut,noisy_minus_ideal,simulator_seconds,final_positions
balanced,very_sparse15,80001,20340925,0.15,qaoa_p2,2,stock_level3,47,stock_qiskit,stock Qiskit Level 3 baseline,135,135,85,54,20.807111111111116,0.0,0.012149899994255975,0.012875200001872145,0,6.497506739676937e-15,6.34113420701337e-15,8.792828905516672,8.792828905516782,False,0,nan,nan,0.0,"[1, 8, 9, 15, 11, 14, 12, 0, 6, 5, 10, 3, 13, 4, 7, 2]"
balanced,very_sparse15,80001,20340925,0.15,qaoa_p2,2,hybrid_level3,47,qiskit_fallback,density 0.150 is below the V4 window,135,135,85,54,20.807111111111116,0.0,0.013420299990684725,0.015029899994260632,0,6.497506739676937e-15,6.34113420701337e-15,8.792828905516672,8.792828905516782,False,0,nan,nan,0.0,"[1, 8, 9, 15, 11, 14, 12, 0, 6, 5, 10, 3, 13, 4, 7, 2]"
balanced,very_sparse15,80002,20340926,0.15,qaoa_p1,1,stock_level3,11,stock_qiskit,stock Qiskit Level 3 baseline,57,57,50,28,11.114666666666672,0.0,0.00907549999828916,0.009540300001390278,0,5.210375665153704e-15,5.088433668399881e-15,8.931095347470833,8.931095347470924,False,0,nan,nan,0.0,"[15, 2, 4, 1, 3, 7, 5, 6, 11, 9, 10, 12, 0, 14, 8, 13]"
balanced,very_sparse15,80002,20340926,0.15,qaoa_p1,1,hybrid_level3,11,qiskit_fallback,density 0.150 is below the V4 window,57,57,50,28,11.114666666666672,0.0,0.009549199996399693,0.010389999995823018,0,5.210375665153704e-15,5.088433668399881e-15,8.931095347470833,8.931095347470924,False,0,nan,nan,0.0,"[15, 2, 4, 1, 3, 7, 5, 6, 11, 9, 10, 12, 0, 14, 8, 13]"
balanced,very_sparse15,80002,20340926,0.15,qaoa_p1,1,stock_level3,29,stock_qiskit,stock Qiskit Level 3 baseline,66,66,62,30,11.840000000000003,0.0,0.009770700009539723,0.010607700009131804,0,5.214518848975216e-15,5.068118797874716e-15,8.931095347470833,8.931095347470924,False,0,nan,nan,0.0,"[10, 2, 9, 7, 0, 13, 1, 8, 5, 4, 12, 15, 6, 11, 3, 14]"
balanced,very_sparse15,80002,20340926,0.15,qaoa_p1,1,hybrid_level3,29,qiskit_fallback,density 0.150 is below the V4 window,66,66,62,30,11.840000000000003,0.0,0.009436800013645552,0.010261899995384738,0,5.214518848975216e-15,5.068118797874716e-15,8.931095347470833,8.931095347470924,False,0,nan,nan,0.0,"[10, 2, 9, 7, 0, 13, 1, 8, 5, 4, 12, 15, 6, 11, 3, 14]"
balanced,very_sparse15,80002,20340926,0.15,qaoa_p1,1,stock_level3,47,stock_qiskit,stock Qiskit Level 3 baseline,62,62,49,30,12.544000000000006,0.0,0.009251899988157675,0.009722600007080473,0,5.739974142347896e-15,5.631912729182486e-15,8.931095347470833,8.931095347470936,False,0,nan,nan,0.0,"[12, 1, 4, 5, 9, 7, 2, 6, 11, 0, 10, 15, 3, 14, 8, 13]"
balanced,very_sparse15,80002,20340926,0.15,qaoa_p1,1,hybrid_level3,47,qiskit_fallback,density 0.150 is below the V4 window,62,62,49,30,12.544000000000006,0.0,0.00922369999170769,0.009994699998060241,0,5.739974142347896e-15,5.631912729182486e-15,8.931095347470833,8.931095347470936,False,0,nan,nan,0.0,"[12, 1, 4, 5, 9, 7, 2, 6, 11, 0, 10, 15, 3, 14, 8, 13]"
balanced,very_sparse15,80002,20340926,0.15,qaoa_p2,2,stock_level3,11,stock_qiskit,stock Qiskit Level 3 baseline,132,132,108,59,21.9448888888889,0.0,0.013977100010379218,0.01486049999948591,0,5.797776907812322e-15,5.066372057428993e-15,8.5354358897264,8.535435889726488,False,0,nan,nan,0.0,"[10, 1, 14, 8, 9, 13, 3, 15, 0, 5, 12, 6, 11, 4, 2, 7]"
balanced,very_sparse15,80002,20340926,0.15,qaoa_p2,2,hybrid_level3,11,qiskit_fallback,density 0.150 is below the V4 window,132,132,108,59,21.9448888888889,0.0,0.011980100010987371,0.01330479999887757,0,5.797776907812322e-15,5.066372057428993e-15,8.5354358897264,8.535435889726488,False,0,nan,nan,0.0,"[10, 1, 14, 8, 9, 13, 3, 15, 0, 5, 12, 6, 11, 4, 2, 7]"
